saved_as,original_filename,artifact_id,version_id,content_type,size_bytes
shortlist_refeasibility.csv,shortlist_refeasibility.csv,25e48806-b74d-41d0-add9-e2c4edf8c897,feda6617-6561-4b5e-b98e-9e323d799224,text/csv,3239
run_val.sh,run_val.sh,dd058aeb-05b0-44f7-856b-7bd021e6fc89,d0077db4-f40f-4e07-8327-39217242ee78,text/x-sh,964
variants.fasta,variants.fasta,441928e8-5519-49a8-8b6e-4c796057b9ac,92eb0da8-e34e-4598-89bc-d8823de6dadc,text/plain,742
nb3_ns1_AB.pdb,nb3_ns1_AB.pdb,30e1a9a2-68b1-4bfb-b07a-8401796587a6,8702fbe3-a704-4364-97f2-0e372cb65904,chemical/x-pdb,296550
run_mpnn.sh,run_mpnn.sh,d16a4d84-8dc1-42f1-8a2b-0b2726a0994b,8706d8d6-349f-45ca-8aa5-c1a9de39fa90,text/x-sh,1187
redesign_spec.json,redesign_spec.json,205d36dc-4f3b-4bdd-a6f3-c698a0a3e6e6,e714b53e-1071-47a1-9f8b-ca3d107d49ae,application/json,451
next_steps.md,next_steps.md,fb43aaff-737f-49d3-9e37-91944d9a3519,ae94fc50-90ec-4a3d-9626-5f1ba06b6306,text/markdown,5617
corrections_ledger.csv,corrections_ledger.csv,b5ee609d-caf0-43ec-ae3f-883231396d73,683bce09-97ef-42e6-8e03-ae7472e3f335,text/csv,7823
dimer_revalidation.md,dimer_revalidation.md,1eee5196-4a97-4b5f-a7e7-1e1d0ea15f50,2b1eece6-959c-4d5a-aabe-3f766f30aa86,text/markdown,5391
pred_dimer_s5.pdb,pred_dimer_s5.pdb,271be5ae-783b-4dc1-917b-b5b90ca5e8fb,ea4e6a37-2a22-466b-b724-202f6949f206,chemical/x-pdb,520748
fig11_dimer_revalidation.png,fig11_dimer_revalidation.png,bce52ba6-5eac-4416-8542-ea3817126196,f3449071-95b8-4a59-b922-b82104788ede,image/png,212907
dimer_quality_control.csv,dimer_quality_control.csv,5bea3058-7e0f-45a5-b308-6fd6478a14ac,c35dbdf9-fc1e-410f-8fb3-023243782c12,text/csv,359
dimer_revalidation.csv,dimer_revalidation.csv,3c80222c-9f91-4d32-b1c6-15f69d74e8be,660613bf-cd1e-4c33-880a-51f3a5b8f8d2,text/csv,1090
binder_status.md,binder_status.md,4f0da57a-30c9-4008-afdc-cb6d09f5c326,061a5b83-224a-463e-8c56-a9b691565405,text/markdown,6228
binder_status_scorecard.csv,binder_status_scorecard.csv,5ff51c6c-e32b-42f7-a9ba-a2a18ba69a8d,cf1ef503-0561-4beb-8b14-f6fdaf28266b,text/csv,1303
